fazer,fiz,fez,fizemos,fizeram
estar,estive,esteve,estivemos,estiveram
ser,fui,foi,fomos,foram
vir,vim,veio,viemos,vieram
ver,vi,viu,vimos,viram
dar,dei,deu,demos,deram
sentir,senti,sentiu,sentimos,sentiram
querer,quis,quis,quisemos,quiseram
ter,tive,teve,tivemos,tiveram
saber,soube,soube,soubemos,souberam
ir,fui,foi,fomos,foram
sair,saí,saiu,saímos,saíram
ficar,fiquei,ficou,ficamos,ficaram
gostar,gostei,gostou,gostamos,gostaram
poder,pude,pôde,pudemos,puderam
pegar,peguei,pegou,pegamos,pegaram
